CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,VFID,Vcosmic,logmstar,logsfr,delta_logsfr,Size Ratio,NUV_r,W1_W3,SNR,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_W1-fixBA_unscaled,CN_g_unscaled,CN_W1-fixBA_unscaled,Feature Cluster,Comp1,Comp2,RA,DEC,ms_pop,transition_pop,suppressed_pop
290.7944,-0.6474269564556745,-0.9298456733405389,False,289.7106,1.5614439720669593,0.7485,False,27.5653,-0.470182783871224,-0.4454773464494226,False,27.6342,1.6928480012357594,0.7094,False,28.085,1.2483418694543031,0.5387,False,b'VFID0045',2623.5496944892234,9.366318168469583,-0.8350428184708704,0.23874940461323912,0.8188639464219273,2.450000353881837,0.6900388561230457,78.21234,False,False,True,False,False,1.490516531024611,1.5244801958970156,0.6905,0.9403,0,-0.1982601086875608,-1.2357788617575356,138.0624165,73.5940833,True,False,False
483.8517,0.010922964839616122,-0.3403716093436447,False,483.5678,2.3603603052524593,1.1665,False,46.0341,-0.25044840390352247,0.2470050507985754,False,45.9014,2.0274167509130314,1.3423,False,46.8422,2.009245326442105,0.9539,False,b'VFID0047',1928.4635893063016,9.130963106102678,-0.6543643458857205,0.6074323747488737,1.131461553512033,1.8451443239135727,0.9262037496289057,115.47895,False,True,False,False,False,2.5243052026069916,1.7757963761167574,0.9885,1.3292,0,-0.11049375296805086,-0.12661909196867355,131.990334,73.5393333,True,False,False
486.3516,0.10651499085617451,1.1424128147237105,False,486.7026,2.588670827826649,1.5855,False,46.8569,-0.07531402384422613,0.45765217755208076,False,47.0256,2.7123344733882795,0.8558,False,47.391,2.3248039654204944,0.4584,False,b'VFID0051',3005.7975407389818,9.585608924287845,-0.7541407187023018,0.1444793710507345,1.176459303918882,2.2217340765991214,-0.3457572819799797,58.55133,False,False,True,False,False,2.674410717004405,1.9761023247267313,1.7381,1.4475,1,-0.5508769918472155,0.9930298216714775,108.046542,73.4706111,True,False,False
391.7763,-0.7821455174251846,-0.08935060692349095,False,390.9035,1.2263010820627243,1.1706,False,37.3559,-0.861929482796505,-0.3915246166046956,False,36.9507,0.002949038533980795,2.2393,False,36.9503,1.1814027096735187,0.4654,False,b'VFID0052',1653.3675583170234,9.754424487260469,-0.934022173043613,-0.17025401626447867,1.0975204781934913,3.075832307800292,0.8126054202783202,502.44345,False,False,False,False,True,1.2789717010227362,1.0764288531710102,1.1154,0.9706,0,-0.848468357673075,-0.8690581818841363,259.0219695,73.4360503,True,False,False
437.6507,-0.9349695468215474,-0.20348702803966784,False,438.2889,1.11354930154329,1.0756,False,42.0616,-0.9051922210164761,-0.03522292545189418,False,42.0504,1.1541573788214612,0.8223,False,41.8234,0.8615822458626349,0.1143,False,b'VFID0053',1733.0934434162546,9.15783920558193,-1.0666942726163202,0.17363349159176478,0.8389735169813616,2.3203806523437507,0.2924000501782231,105.90234,False,False,False,False,True,1.038996354743823,1.0269480840856813,1.0577,1.1707,0,-1.0453688538582633,-0.7879612135481273,268.56899999999996,73.4239444,True,False,False
355.6027,0.36303279505608704,-0.371427793252206,False,355.9666,2.9248570711231885,1.0195,False,34.0445,0.09917628890865571,-0.42179512509843686,False,34.0082,2.4655227175606726,0.7659,False,33.9748,1.7077935470304975,0.9045,False,b'VFID0057',3054.469309975978,9.211108347803926,-1.9767256943023501,-0.7789499713279444,0.7849500442645757,3.4638970296020517,-0.3925188348315434,24.343256,False,True,False,False,False,3.0772135297081875,2.1756716360600246,0.9728,0.9536,0,0.5561669023413905,-0.3175234894835091,155.195925,73.2842714,False,True,False
171.9833,-0.800162753182012,0.8522254147628232,False,170.9463,1.006009485162844,0.877,False,16.7621,-1.0154988703161492,2.0484564298055177,False,16.7568,1.2165039114119498,1.0051,False,16.9009,0.5001801348124465,2.2295,False,b'VFID0058',2734.63261554712,9.400534687229507,-1.1451159041773773,-0.09865625406914824,0.5552699228791774,4.903592501831055,0.9407322868041987,113.441765,False,False,False,False,True,1.2506797340669402,0.9007873724168596,1.5914,2.3409,1,-2.114484204567311,1.166314518451273,133.31475,73.1888333,True,False,False
594.1429,0.6389266561710357,-0.6351086413420918,False,593.8385,3.399326913633632,1.024,False,57.0827,0.4537152050715379,0.436997007050469,False,57.1119,2.719718766602598,1.0976,False,56.8496,1.8728413942481352,2.6569,False,b'VFID0060',2182.2222988363314,9.543198874111962,-1.0654351547889653,-0.13293739912034375,0.725579199098262,2.8480895474243173,0.6296021040527346,148.5989,False,False,True,False,False,3.5104420286477787,2.581167426761506,0.8395,1.4359,2,0.7528722151428139,0.2758580361644066,193.7208855,73.1783368,True,False,False
498.3792,2.5077585583791002,-0.5007955911897795,False,498.8848,6.4192984428290405,1.0965,False,47.6789,2.8120786108146896,-0.41217978710630737,False,48.1397,6.031773675273902,0.9035,False,48.1258,7.6713987798674435,1.4045,False,b'VFID0061',3480.408671512898,9.591895156864956,-0.7760157553606413,0.11758281505365753,1.453331591014386,2.525595255920411,0.1589691005688465,11.282215,False,False,False,False,True,6.445017073167145,5.278491727075866,0.9074,0.959,2,3.594811275151879,1.2859756570173102,120.509523,73.0453448,True,False,False
355.195,-0.046967950518360134,0.4973541158331493,False,355.1845,2.2672649620093024,1.4037,False,34.2266,-0.19181038649982773,1.0066167521768117,False,34.2971,1.9723275900816164,0.9567,False,35.6574,0.0173548493951281,17.5658,True,b'VFID0063',2575.5702863110246,8.429908806365052,-2.0299794439028696,-0.2081719886263813,0.009417333937654229,2.4437881193847666,0.2499734722119129,2.7409258,False,False,False,False,True,2.4334006994715427,1.8428622697275863,1.412,1.7558,1,-0.6663713826573835,0.8499005461361713,124.87912200000001,72.9678005,True,False,False
263.9245,0.6303119565211643,0.46708917227894664,False,264.2227,3.5174668972458694,1.4973,False,25.5837,0.594352484570237,0.35437632504402233,False,25.5897,3.3264677135776557,1.0549,False,28.6543,1.8884307474724948,0.0533,False,b'VFID0064',3350.1272228252847,9.144309984826219,-1.07105322129841,0.1800818496437946,0.6887010499900943,2.4006314147949226,-0.14884616308593657,6.0386024,False,False,False,False,True,3.496914604068461,2.742018104226291,1.3967,1.3895,2,0.464417798549959,0.93182130512727,113.09656799999999,72.9086921,True,False,False
657.773,0.4424652784748821,0.34108414584739555,False,657.5801,3.118920523974229,1.227,False,62.9135,0.6238637573571915,0.8212544031063137,False,62.8887,2.6906825298976043,1.5257,False,62.4258,2.292789845015595,0.0907,False,b'VFID0066',1962.9036801641967,10.56691047987587,-0.7955085361644774,-0.6807641109009854,0.8260010956949381,3.6251004650878897,0.4272305067626956,1013.5901,False,False,True,False,False,3.201944161334061,2.7757709486893667,1.333,1.6517,2,0.25959103991116195,1.0842656033201805,192.53004149999998,72.8744722,False,True,False
752.2679,-1.1119570727107475,0.9910880969526956,False,752.6339,0.7681952417278759,2.0646,False,71.842,-1.2965962826820958,0.17756094307763973,False,71.8139,0.7442428410597529,0.8904,False,71.8714,0.6074222885488185,1.2531,False,b'VFID0068',1386.7943368200783,8.94924060512871,-2.594242198745988,-1.1872833254657555,1.0485658831140825,4.418145361083985,-0.06089160354980372,59.519646,False,False,False,False,True,0.7610777382797045,0.5792886249024868,1.6616,1.2902,1,-1.9022617943564584,-0.12417057281654603,161.92425,72.8218611,False,True,False
377.5303,1.9701831940326717,1.1663478354430474,False,377.5421,4.542303783374258,1.6802,False,35.9919,0.7408591745834865,-0.13084211992918285,False,35.831,3.6333011735671223,1.1031,False,35.8197,4.222373926617357,0.7729,False,b'VFID0069',2785.4732316881987,8.927429461273258,-0.6746761271241947,0.7497057541861477,1.4511961639960675,1.649881177246094,0.28203648047607466,9.140986,False,False,False,False,True,5.600877347761387,2.9095817859595714,1.7502,1.117,2,1.269647494432623,1.61040573762515,116.24884949999999,72.8109551,True,False,False
238.8805,-1.2640564485134353,1.7374255612011122,False,238.9841,0.5788925165290721,1.8825,False,22.9908,-1.3521920968837984,0.7019529872780395,False,22.9336,0.6693568150352623,0.8346,False,22.6208,0.4249835790657303,1.1813,False,b'VFID0071',1311.261430261946,8.426177711461136,-2.298974878926766,-0.4741869794836231,0.8240872234183884,2.8270515360107407,0.049008088698730745,35.82534,False,False,False,False,True,0.5222402954951652,0.5157021817458349,2.0389,1.5847,1,-2.4746827750022224,0.5783749636088369,257.987931,72.5820128,True,False,False
292.436,-0.01310921598142136,-1.2609797616394653,False,293.4762,2.4831387270620517,0.5296,False,28.3489,0.19529442932701024,-0.909506435477009,False,28.3828,2.47133985617063,0.5966,False,28.7148,2.152953813202642,0.5028,False,b'VFID0072',3363.474287558093,9.476678072975885,-0.31577700239665624,0.6698583814515862,0.9419625102738818,1.6157557271728518,0.6436734993139659,72.58323,False,False,False,False,True,2.4865681337890484,2.285604564640961,0.5231,0.6797,0,0.8767806017651764,-1.2729085041216306,112.0477995,72.573013,True,False,False
384.9114,2.78213639460683,3.1762961456015852,False,385.2537,5.546411546201016,2.6731,False,36.9307,0.8553290392668533,1.0566521220988192,False,36.9718,2.872860156437036,1.2358,False,37.0653,4.968144613585343,2.2679,False,b'VFID0074',2937.154576577149,9.220654526672767,-0.7424931555511793,0.44765696318206527,1.633987155612023,1.9694547554931638,0.21916095525878987,22.306143,False,False,True,False,False,6.8758650001592825,3.0405040801709875,2.7663,1.7839,2,0.7026318021966119,3.9125581616589518,112.736253,72.5175576,True,False,False
666.6,0.6756300108333738,-0.45233211948533686,False,666.6661,3.3263803037193584,0.9774,False,63.7942,0.37043175508175064,-0.5533828061388767,False,63.8107,2.649932684379074,0.7426,False,63.6424,2.3124605551292485,0.4863,False,b'VFID0076',2317.0519221626405,9.800361337543597,-0.9721611904858458,-0.24508795061088962,0.9302255285563149,3.2411998065795906,1.1088025183007808,465.8042,False,True,False,False,False,3.568076291266573,2.485913882322844,0.9319,0.8797,2,0.987915139355063,-0.2434223736361334,256.1414385,72.4466523,True,False,False
438.2213,1.1389529995294838,-0.6424276146199057,False,437.1537,4.518098345965563,1.3118,False,42.0794,1.2556555424815024,-0.3106845527449396,False,42.1355,3.5223260157246425,1.0536,False,42.465,3.741541165884097,0.6479,False,b'VFID0077',3071.003088505376,10.114536926062618,-0.9110810912076718,-0.43497514758770517,1.0695103435186941,3.1564850400390636,0.9430345040551753,271.60983,False,False,True,False,False,4.2956195649945474,3.4983683781630455,0.8358,1.016,2,1.8108919170667144,0.24936788361147125,162.124125,72.4250556,True,False,False
565.9806,1.7766750068227308,-0.51859849916284,False,567.8824,5.178701194470285,1.0631,False,54.193,2.3500748203941617,-0.3258198069918101,False,53.8173,5.050766912016759,0.8694,False,53.7015,6.837605763811127,1.6344,False,b'VFID0078',3784.35820373475,9.853882279052465,-0.3913945916579094,0.2929254666384952,1.4394700579893207,1.971469522155763,-0.39319495528320303,46.646282,False,True,False,False,False,5.297016793783509,4.750085440027858,0.8984,1.0075,2,2.8427947895232997,0.9038542437118586,257.554614,72.4106026,True,False,False
732.6815,1.1452923881197343,1.4529746538093227,False,733.0485,4.26517073675378,1.8177,False,69.9198,2.104657678678661,1.546322112438751,False,0.0,0.0,0.0,False,65.6572,4.477354130609831,1.0813,False,b'VFID0079',1606.37475059814,9.689183841827996,-2.2531844310845557,-1.4373012501327942,1.001780765146217,4.5057434000244125,-1.0835116332861325,37.767876,False,True,False,False,False,4.305574131551593,4.469395187435375,1.8951,2.0589,2,0.9677772238686018,2.9444808715394526,257.889294,72.4019766,False,True,False
576.1043,1.8632069764380963,-0.3923956626426994,False,575.8253,5.4392924203856,1.0305,False,55.1618,2.174876235886763,-0.7031327922755614,False,55.4359,4.924942943931809,0.9003,False,55.7273,4.086623749197518,0.5151,False,b'VFID0080',2611.553873339905,9.461725788791352,-1.5484802596228162,-0.5509008085976257,0.8982170927442705,3.2333934610595705,-0.43577587712158206,20.884367,False,True,False,False,False,5.432895552213484,4.549706059046252,0.9622,0.7956,2,2.8650331129582383,0.7226858587017758,258.6611355,72.3987504,False,True,False
336.1563,-0.35454200323158813,-1.2194396430356573,False,336.0728,1.9013071956452872,0.586,False,32.1109,-0.29387247538574496,-1.3676594846205161,False,32.1445,1.8577555785239213,0.5155,False,32.3631,1.4985417599281639,0.0366,True,b'VFID0083',2017.5873427723818,8.473822608081298,-3.933629217141054,-2.1469006428716955,0.8681506128121973,3.466875101440431,-0.6811891012158195,9.798506,False,False,True,False,False,1.9504256719329593,1.7261310857962109,0.5441,0.4224,0,0.5023172681991405,-1.8183116223629507,191.83798199999998,72.2138577,False,False,True
270.4534,-0.4107180512344765,-0.3872526003393709,False,271.2147,1.7955556480782948,1.1024,False,25.9753,-0.4137478456057061,-0.5870364891113302,False,25.9468,1.847141811882852,0.7302,False,25.7732,2.046986199496446,0.4527,False,b'VFID0091',2812.413726637366,9.359356206518266,-0.9335269851475011,0.14582653815025093,1.2882015306122447,2.1797642784423825,0.022773921406249897,37.14498,False,False,False,False,True,1.8622139775723157,1.5890263680431842,0.9648,0.8608,0,-0.1699591113728705,-0.8877068460607471,118.24879200000001,72.0412778,True,False,False
443.5578,-0.0015274791735802773,-0.7684326410514565,False,444.9365,2.5208147721991603,0.7488,False,42.8715,0.13930932093841344,-0.9276687405732538,False,42.9286,2.5989735781994385,0.7678,False,43.357,2.021815718906845,0.9709,False,b'VFID0093',2038.8595161896417,8.943284726106597,-2.3253134340243027,-0.9135969318587471,0.9100830053903899,2.9796911376342763,-0.21007291123290983,19.806097,False,False,False,False,True,2.5047546147498694,2.221572875146224,0.7721,0.6695,0,0.6760318334590357,-0.9996712055493888,190.25312250000002,71.811537,False,True,False
617.0817,0.22308125860700742,1.4606892472643156,False,617.0586,2.885258028338386,2.0895,False,59.0729,0.005920430734008742,2.6401558399508245,False,59.0717,1.8472479461528366,2.1176,False,59.1616,1.622631044069463,0.5847,False,b'VFID0095',3368.5849743958224,10.627398180880606,-0.1601637893503657,-0.0937376782162346,0.7842539086562436,3.5420078258666976,1.0182796190893555,564.8133,False,False,True,False,False,2.8574515030538037,2.069012377445095,1.899,2.6732,1,-1.2761409887214608,2.616526017988098,108.1362915,71.7505278,True,False,False
